scenario,problem_type,unit,n_test,E_test,EF_total_gx,EF_true_gx,FP_gx,Recall_gx,Precision_gx,FalseAlarm_gx,EF_total_evidently,EF_true_evidently,FP_evidently,Recall_evidently,Precision_evidently,FalseAlarm_evidently,EF_total_alibi,EF_true_alibi,FP_alibi,Recall_alibi,Precision_alibi,FalseAlarm_alibi,EF_total_nannyml,EF_true_nannyml,FP_nannyml,Recall_nannyml,Precision_nannyml,FalseAlarm_nannyml
pass,missing_y,rows,4120,85,85,85,0,1.000,1.000,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—
pass,missing_price,rows,4120,207,207,207,0,1.000,1.000,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—
pass,dup_ds,rows,4120,204,204,204,0,1.000,1.000,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—
pass,drift_features,features,4120,0,2,0,2,—,—,0.667,2,0,2,—,—,0.667,2,0,2,—,—,0.667,3,0,3,—,—,1.000
pass,outliers_y,rows,4120,0,NA,NA,NA,—,—,—,6,0,6,—,—,0.001,6,0,6,—,—,0.001,6,0,6,—,—,0.001
pass,outliers_price,rows,4120,0,NA,NA,NA,—,—,—,0,0,0,—,—,0.000,0,0,0,—,—,0.000,0,0,0,—,—,0.000
pass,out_of_range_price,rows,4120,0,0,0,0,—,—,0.000,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—
dr,drift_features,features,4000,3,3,3,0,1.000,1.000,—,3,3,0,1.000,1.000,—,3,3,0,1.000,1.000,—,3,3,0,1.000,1.000,—
dr,outliers_y,rows,4000,258,NA,NA,NA,—,—,—,258,258,0,1.000,1.000,—,258,258,0,1.000,1.000,—,258,258,0,1.000,1.000,—
dr,outliers_price,rows,4000,144,NA,NA,NA,—,—,—,144,144,0,1.000,1.000,—,144,144,0,1.000,1.000,—,144,144,0,1.000,1.000,—
dr,out_of_range_price,rows,4000,4000,4000,4000,0,1.000,1.000,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—
ideal,missing_y,rows,4000,0,0,0,0,—,—,0.000,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—
ideal,missing_price,rows,4000,0,0,0,0,—,—,0.000,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—
ideal,dup_ds,rows,4000,0,0,0,0,—,—,0.000,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—
ideal,drift_features,features,4000,0,0,0,0,—,—,0.000,0,0,0,—,—,0.000,0,0,0,—,—,0.000,0,0,0,—,—,0.000
ideal,outliers_y,rows,4000,0,NA,NA,NA,—,—,—,0,0,0,—,—,0.000,0,0,0,—,—,0.000,0,0,0,—,—,0.000
ideal,outliers_price,rows,4000,0,NA,NA,NA,—,—,—,0,0,0,—,—,0.000,0,0,0,—,—,0.000,0,0,0,—,—,0.000
ideal,out_of_range_price,rows,4000,0,0,0,0,—,—,0.000,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—,NA,NA,NA,—,—,—
